订单号, 发送方, 用户ID, 聊愈师ID, 聊天时间, 类型, 聊天内容
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:01:14,免费消息,你好，我是你的聊愈师，如果你有想咨询的问题或者预约服务时间，都可以打字发送给我；也可以在下单后使用语音条与我沟通哦，非常希望可以在聊愈中帮助到你～
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:01:14,免费消息,我失业了，不知道怎么和家里人说，和男朋友说
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:01:56,免费消息,你好，是刚刚发生的事情吗？
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:01:58,免费消息,你还好吗
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:02:04,免费消息,昨天
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:02:40,免费消息,你现在感觉怎么样呀？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:02:43,免费消息,其实我自己现在已经平复了，但是我不知道如何面对家里人和面对男朋友怕父母失望，怕男朋友觉得我不行
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:03:56,免费消息,嗯嗯，我理解
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:04:23,免费消息,那你和男友曾经讨论过类似的问题吗
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:05:24,免费消息,只说过我主动辞职他是支持我的，但是现在我是被裁两种是不一样的，而且我之前主动辞职就是为了来找他
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:06:12,免费消息,你为了他而换了工作和城市，是这样吗
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:06:18,免费消息,曾经
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:08:08,免费消息,是的，我因为他来到这个城市，但是来这里被裁了，但是我并不后悔，我只是不知道该如何和他说
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:09:02,免费消息,其实，你更担心因为被裁这件事影响他对你的看法，是吗
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:11:21,聊天消息,是的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:11:30,聊天消息,我们要谈婚论嫁了
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:11:36,聊天消息,而且我也不知道怎么和我的家里人说
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:11:39,聊天消息,这让我很复杂
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:11:59,聊天消息,但其实我很累，我也不想一直这样瞒着我，想诚实的面对自己，但是又没办法没有做到完全不在意
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:12:16,聊天消息,嗯嗯，我理解你的感受
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:12:25,聊天消息,所以我在想怎么办？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:12:31,聊天消息,我应该怎么做这件事情？
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:12:56,聊天消息,我们可以一起探索下如果把事实告诉他们，他们可能的反应会是什么？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:01,聊天消息,其实我自己也想停下来了
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:08,聊天消息,我怎么说呢？怎么表达呢？
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:13:13,聊天消息,以及如果暂时不能接受这个结果，目前能做的有哪些？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:23,聊天消息,如果是不好的反应呢
